judul,tahun,topic,probability,topic_name
a new mppt based on queen honey bee migration qhbm in stand alone photovoltaic,2019,205,0.8913663105468859,205_bee_colony_season_harvest
the growth of zno nanorods on stainless steel foils and its application for piezoelectric nanogenerator,2018,60,0.5668628339438345,60_zno_nanorods_nanogenerator_optical
implementation of fuzzy decision to control patient room facilities using eye blink,2018,-1,0.0,-1_dan_the_and_of
implementation of otsu s method in vein locator devices,2018,62,0.7771136518050445,62_monitoring_iot_electrical_listrik
evaluasi kinerja jalur khusus sepeda di kawasan alun alun kota malang,2020,-1,0.0,-1_dan_the_and_of
constructing a strategy to improve indonesian regency road performance using balanced scorecard,2020,133,0.7090336076834882,133_road_jalan_maintenance_kecelakaan
district road maintenance priority using analytical hierarchy process,2019,133,0.9316660814880035,133_road_jalan_maintenance_kecelakaan
evaluation of moisture damage in asphalt concrete with crm motorcycle tire waste passing 50 sieve size,2017,155,1.0,155_asphalt_wearing_marshall_concrete
improving the physical properties of asphalt concrete wearing course using latex drc60,2016,155,1.0,155_asphalt_wearing_marshall_concrete
the influence of tourist village status on the perception of happiness among residents,2021,2,1.0,2_tourism_wisata_ecotourism_sustainable
wacana karakter di masa pandemi covid 19,2021,202,1.0,202_pandemi_covid_19_umkm
mozaik filsafat sebuah dialog pemikiran,2021,222,1.0,222_filsafat_sebuah_penerapannya_manusia
sumpah pemuda menjadi milenial ,2019,-1,0.0,-1_dan_the_and_of
autarkeia pendidikan demokrasi di indonesia autarkeia of demcratic education in indonesia ,2019,-1,0.0,-1_dan_the_and_of
seri studi kebudayaan 1 pluralisme multikulturalisme dan batas batas toleransi,2017,146,1.0,146_budaya_cagar_kebudayaan_etnis
bingkai keadilan hukum pancasila dalam perspektif hukum dan relevansinya dengan keadilan di indonesia,2014,84,0.49583585851997625,84_indonesia_politik_political_keadilan
pengembangan permainan modifikasi aktivitas lari jarak pendek dalam pembelajaran atletik di smk negeri 1 batu,2022,-1,0.0,-1_dan_the_and_of
pengembangan modifikasi permainan lay up dalam pembelajaran bola basket untuk kelas viii smp negeri 5 lamongan,2022,-1,0.0,-1_dan_the_and_of
analisis penerapan asesmen berbasisdaring pada mata pelajaranpjokpada masa pandemi,2022,11,0.6173243051782251,11_pandemic_covid_19_during
need analysis of m learning for basketball class,2022,-1,0.0,-1_dan_the_and_of
analysis of junior high school students motivation in attending the learning of pe in bali and east java,2021,-1,0.0,-1_dan_the_and_of
peningkatan kemampuan guru pendidikan jasmani dalam merancang permainan dan olahraga dalam situasi wabah corona covid 19 ,2021,58,0.5818845416840586,58_olahraga_jasmani_sports_kesehatan
 motivasi siswa perempuan dalam mengikuti pembelajaran pendidikan jasmani sekolah menengah pertama negeri smpn se kota malang ,2020,-1,0.0,-1_dan_the_and_of
pengaruh latihan dribble zig zag terhadap peningkatan keterampilan dribble bola basket bagi peserta kegiatan ekstrakurikuler bola basket sma,2020,-1,0.0,-1_dan_the_and_of
pengembangan perangkat pembelajaran model discovery learning materi gerak lokomotor kelas rendah sekolah dasar,2020,-1,0.0,-1_dan_the_and_of
pelatihan penyusunan proposal pendirian klub olahraga sd melalui forum kkg olahraga sd di kabupaten pasuruan,2019,58,0.8979022157439774,58_olahraga_jasmani_sports_kesehatan
the knowledge of hiv prevention and sexual reproductive health among papua adolescent in a health promotion counselling using friendly module and games,2019,-1,0.0,-1_dan_the_and_of
latihan peregangan otot pergelangan tangan tangan dan lengan sebagai bentuk usaha pencegahan dan rehabilitascarpal tunnel syndrome,2017,-1,0.0,-1_dan_the_and_of
versuche mit der mikrowelle gr ne organische chemie f r studium und schule,2021,3,0.5114042865903328,3_chemistry_chemical_kimia_base
indonesian pre service science teachers views on socio scientific issues based science learning,2021,204,1.0,204_science_socio_issues_survey
pengembangan bahan ajar ipa dengan pendekatan sets science enviroment technology and society pada tema bioteknologi untuk kelas ix smp mts,2021,-1,0.0,-1_dan_the_and_of
pengembangan paket ipa terpadu berbasis learning cycle lc 5e untuk meningkatkan kemampuan berpikir kreatif siswa smp mts kelas vii tema pemanasan global,2021,-1,0.0,-1_dan_the_and_of
analisis kebutuhan bahan ajar ipa smp dengan mengeksplisitkan hakikat sains nos dan berpikir kritis topik energi dalam sistem kehidupan,2021,-1,0.0,-1_dan_the_and_of
pengembangan media pembelajaran interaktif berbasis android pada materi sistem pencernaan untuk siswa smp kelas viii,2021,12,0.9247043647222047,12_android_mobile_media_smartphone
a survey of indonesian science teachers experience and perceptions toward socio scientific issues,2020,204,1.0,204_science_socio_issues_survey
design and development augmented reality application to introduce the potential of sudaji village in bali using the design thinking method,2022,-1,0.0,-1_dan_the_and_of
m auto the augmented reality based ar learning media application for the finite state automata fa reduction subject of language and automata theory courses,2020,21,0.7469094438540754,21_augmented_reality_3d_media
improved neural network using integral relu based prevention activation for face detection,2019,107,0.8460416821545977,107_detection_neural_chest_tiruan
facial emotion recognition based on viola jones algorithm in the learning environment,2018,166,1.0,166_emotion_recognition_face_facial
recognition of student emotion based on matrix 1 median fisher s face and backpropagation algorithm,2017,166,0.5633037472474689,166_emotion_recognition_face_facial
sistem pendukung keputusan produksi berbasis fuzzy pada sistem informasi jual beli mobil bekas,2016,114,0.5289773112724924,114_fuzzy_logic_mamdani_tsukamoto
aluminophosphate synthesis methods and their influence on the crystal morphology a review,2021,34,0.07772999041061403,34_silver_complexes_adducts_ligands
aktivitas katalitik ts 1 dengan lokasi sisi hidrofilik berbeda di dalam struktur kerangka dan di permukaan struktur kerangka katalis,2013,36,0.5014214282457803,36_catalyst_synthesis_hydrogenation_hydrogenolysis
the determinant of food security among agriculture based households in rural indonesia,2022,52,0.4722966884103801,52_food_pangan_lestari_makanan
access to technology to increase food resilience in rural households in indonesia,2022,52,0.3262385164416314,52_food_pangan_lestari_makanan
for poor households social capital is important to deal with disasters,2022,72,0.361046329522094,72_disaster_preparedness_bencana_tsunami
household size education and household wealth in indonesia evidence from quantile regression,2022,44,0.9637292356020002,44_regional_inequality_wealth_net
quantile regression for panel data the investigation of determinants of households net wealth in indonesia,2020,44,1.0,44_regional_inequality_wealth_net
measuring net wealth inequality in indonesia,2019,44,1.0,44_regional_inequality_wealth_net
application of dagum type iii model to measure net wealth inequality in indonesia,2019,44,1.0,44_regional_inequality_wealth_net
features of wealth distribution in indonesia using quantiles shares,2018,44,1.0,44_regional_inequality_wealth_net
house ownership circumstances in rural area in indonesia,2018,-1,0.0,-1_dan_the_and_of
mudik aman dan nyaman,2015,64,1.0,64_candi_riak_hila_sholihul
causes and solutions of tragedy of the commons in natural resources management of muncar coastal areas,2017,-1,0.0,-1_dan_the_and_of
effect of e money to economic performance a comparative study of selected countries ,2017,-1,0.0,-1_dan_the_and_of
the relationship between houserent income inequality and households consumption,2017,-1,0.0,-1_dan_the_and_of
strategic efforts of east java province government to develop industrial area in increasing the numb,2017,-1,0.0,-1_dan_the_and_of
international journal of economics amp financial issues,2016,92,1.0,92_financial_literacy_keuangan_decisions
analysis of the use of electronic money in efforts to support the less cash society,2016,-1,0.0,-1_dan_the_and_of
